ottoneu_player_id,player_name,positions,team_id,team_name,salary,roster_pct,average_salary,pro_team,fantasy_points,fantasy_points_avg,games_played,minutes,minutes_avg,points,points_avg,rebounds,rebounds_avg,assists,assists_avg,steals,steals_avg,blocks,blocks_avg,field_goal_attempts,field_goal_attempts_avg,field_goals_made,field_goals_made_avg,free_throw_attempts,free_throw_attempts_avg,free_throws_made,free_throws_made_avg,three_point_attempts,three_point_attempts_avg,three_points_made,three_points_made_avg,turnovers,turnovers_avg,fg_pct,ft_pct,three_pt_pct
3211,Brandon Williams,G,235.0,Rebuilders ,4,64.7,3.0,DAL,26,26.0,1,24,24.0,14,14.0,7,7.0,5,5.0,1,1.0,0,0.0,15,15.0,5,5.0,4,4.0,4,4.0,3,3.0,0,0.0,2,2.0,0.3333,1.0,0.0
25840,Ronald Holland II,F,222.0,Livin LaVida LaVine,4,94.1,4.19,DET,4,4.0,1,18,18.0,2,2.0,5,5.0,1,1.0,1,1.0,0,0.0,7,7.0,1,1.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,0.1429,0.0,0.0
119,Davion Mitchell,G,216.0,Tingus Pingus,3,100.0,4.41,MIA,32,32.0,1,34,34.0,8,8.0,1,1.0,11,11.0,2,2.0,1,1.0,7,7.0,3,3.0,0,0.0,0,0.0,3,3.0,2,2.0,5,5.0,0.4286,0.0,0.6667
3487,Jaime Jaquez Jr.,G,221.0,Walter O'dim,3,100.0,3.29,MIA,40,40.0,1,30,30.0,19,19.0,3,3.0,5,5.0,2,2.0,0,0.0,12,12.0,9,9.0,3,3.0,1,1.0,1,1.0,0,0.0,2,2.0,0.75,0.3333,0.0
143,Andre Drummond,C,236.0,Dangerous Nights Crew,2,100.0,4.0,PHI,4,4.0,1,7,7.0,2,2.0,4,4.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0.5,0.0,0.0
419,Brook Lopez,C,246.0,Trust the Process,2,76.5,6.0,LAC,5,5.0,1,20,20.0,3,3.0,2,2.0,1,1.0,1,1.0,1,1.0,12,12.0,1,1.0,0,0.0,0,0.0,12,12.0,1,1.0,0,0.0,0.0833,0.0,0.0833
526,Sam Hauser,F,216.0,Tingus Pingus,2,52.9,3.89,BOS,29,29.0,1,30,30.0,15,15.0,5,5.0,1,1.0,1,1.0,0,0.0,7,7.0,5,5.0,0,0.0,0,0.0,7,7.0,5,5.0,0,0.0,0.7143,0.0,0.7143
5327,Nique Clifford,G,215.0,Tatum's Taters,2,70.6,2.5,SAC,12,12.0,1,17,17.0,0,0.0,2,2.0,1,1.0,3,3.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0.0,0.0,0.0
21356,Maxime Raynaud,C,250.0,Hunsucker Commando,2,82.4,4.36,SAC,24,24.0,1,35,35.0,12,12.0,8,8.0,1,1.0,0,0.0,0,0.0,8,8.0,5,5.0,2,2.0,2,2.0,0,0.0,0,0.0,0,0.0,0.625,1.0,0.0
24137,Adem Bona,F,215.0,Tatum's Taters,2,64.7,4.82,PHI,6,6.0,1,8,8.0,2,2.0,4,4.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0.0,0.0
