bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
hieldbu01,1627741,697086,2990984,Buddy Hield,SAC,35,23
ellebcj01,1629604,1135177,4397166,CJ Elleby,POR,33,22
mccolcj01,203468,522878,2490149,CJ McCollum,POR,33,22
milescj01,101139,292394,2778,CJ Miles,BOS,34,2
cunnica01,1630595,1232182,4432166,Cade Cunningham,DET,32,8
martica02,1628997,842969,3138160,Caleb Martin,MIA,35,14
reddica01,1629629,1132027,4395627,Cam Reddish,ATL,33,1
thomaca02,1630560,1232020,4432174,Cam Thomas,BRK,32,17
johnsca02,1629661,843005,3138196,Cameron Johnson,PHO,33,21
mcgrica01,1630787,944246,4066315,Cameron McGriff,POR,33,22
payneca01,1626166,792338,3064230,Cameron Payne,PHO,33,21
leverca01,1627747,698991,2991043,Caris LeVert,IND,34,11
