stats_player_id,nba_player_id
338365,201939
830650,203999
512591,202695
329525,201142
214152,2544
469218,202331
739957,203507
229598,101108
395388,201935
794508,203954
458730,202710
463121,203081
329468,201144
295922,201980
739960,203497
551768,202681
1121277,1629029
837030,1626157
937647,1628369
603096,203076
457576,201950
1061724,1629008
891352,1627750
957486,1628389
879707,1628378
237675,200794
266394,200768
707832,1627832
332691,201976
796009,1628401
522878,203468
606912,203078
514882,203482
525052,203496
750924,1626174
877869,204001
844478,1627751
277552,201588
850111,1627734
468895,203110
743777,203897
462980,202689
846400,1628969
880468,1628381
1132025,1629627
1060978,1629027
512053,203114
886391,1627732
830642,203994
946714,1628366
604479,1626220
552309,203939
883436,1627759
477667,202330
280587,201143
603640,1626204
845564,1626164
553306,204060
853408,1627783
830648,203992
602411,203915
830647,203991
1175367,1630162
599780,202685
954390,1629057
330047,201572
601146,1627763
697132,203935
887665,1627742
748788,203932
697720,203937
599812,202711
956574,1628386
1076265,1629011
884168,1627749
1231862,1630596
1066725,1628464
606701,1627827
854591,1629130
843762,1626167
463135,203552
846499,1626172
1257420,1630163
462444,202704
786293,1626179
552523,202699
786412,203944
896601,1628418
844038,1626156
456451,201587
457594,201942
1067856,1628983
509449,202339
456450,201586
744102,1626153
456448,201568
900535,1628384
957479,1628970
457598,202696
957489,1628368
679478,203500
552336,203084
920093,1627826
609861,1626181
399725,201933
609256,203490
695069,1626158
510790,203486
946801,1629001
1251666,1630567
1132825,1630169
697644,1627936
698651,1626149
660085,203933
659767,203095
410764,203145
1078665,1630214
659772,203107
699826,203924
901190,1628449
549969,203925
941834,1628971
552381,203109
794503,203952
661004,1630267
739966,203526
1061507,1629028
553166,203506
741011,1628420
553331,1626246
699947,203457
609843,203090
173004,2738
697086,1627741
843228,1628984
1072048,1628467
551771,203501
503689,201937
551760,203115
887915,1628978
887914,1628973
1067671,1629673
844040,1630256
1078662,1628991
892914,1629634
698991,1627747
601511,1629308
550431,202357
329830,201566
1060912,1628976
1061647,1629655
854601,1628415
395374,201567
1134175,1630193
609790,203487
1121333,1629067
266358,200752
602730,203484
741931,1629134
551975,203903
852907,1629723
229738,2772
699950,1626161
1178131,1630532
1134769,1629650
